loc,entity,risk_score,complexity,revisions,risk_factor
3377,packages/react-reconciler/src/ReactFiberWorkLoop.old.js,7.52,5,64,high
5193,packages/react-dom/src/__tests__/ReactDOMFizzServer-test.js,7.04,5,43,high
4108,packages/react-reconciler/src/ReactFiberBeginWork.new.js,7.02,4,60,high
3982,packages/react-reconciler/src/ReactFiberCommitWork.old.js,6.78,3,72,high
3982,packages/react-reconciler/src/ReactFiberCommitWork.new.js,6.76,3,71,high
3583,packages/react-reconciler/src/ReactFiberHooks.old.js,6.63,5,38,high
3583,packages/react-reconciler/src/ReactFiberHooks.new.js,6.63,5,38,high
4532,packages/react-devtools-shared/src/backend/renderer.js,6.06,4,33,high
3377,packages/react-reconciler/src/ReactFiberWorkLoop.new.js,6.04,2,65,high
2207,packages/react-dom/src/server/ReactDOMServerFormatConfig.js,5.60,5,24,high
4108,packages/react-reconciler/src/ReactFiberBeginWork.old.js,5.51,1,60,high
1614,packages/react-reconciler/src/ReactFiberCompleteWork.old.js,5.39,3,38,high
2241,packages/react-server/src/ReactFizzServer.js,5.36,4,26,high
561,packages/react-devtools-extensions/src/main.js,5.26,5,29,high
1382,packages/react-dom/src/client/ReactDOMHostConfig.js,5.18,5,21,high
17366,yarn.lock,5.14,4,14,high
1614,packages/react-reconciler/src/ReactFiberCompleteWork.new.js,5.01,2,39,high
79,packages/shared/forks/ReactFeatureFlags.testing.js,4.75,5,41,high
3587,packages/react-dom/src/__tests__/ReactDOMServerPartialHydration-test.internal.js,4.68,1,33,high
77,packages/shared/forks/ReactFeatureFlags.test-renderer.native.js,4.68,5,39,high
579,packages/react-reconciler/src/ReactFiberThrow.old.js,4.65,5,19,high
4476,packages/react-reconciler/src/__tests__/ReactHooksWithNoopRenderer-test.js,4.53,4,13,high
903,packages/react-reconciler/src/ReactFiberLane.old.js,4.51,4,19,high
90,packages/shared/forks/ReactFeatureFlags.native-fb.js,4.50,4,41,high
1025,packages/react-server/src/ReactFlightServer.js,4.49,4,18,high
874,packages/react-reconciler/src/ReactFiber.new.js,4.46,5,15,high
81,packages/shared/forks/ReactFeatureFlags.test-renderer.www.js,4.45,4,41,high
844,packages/react-reconciler/src/ReactFiberReconciler.new.js,4.42,3,23,high
202,packages/react-reconciler/src/ReactFiberRoot.old.js,4.40,5,22,high
1308,packages/react-dom/src/client/ReactDOMComponent.js,4.40,5,13,high
259,packages/shared/ReactFeatureFlags.js,4.33,2,42,high
427,scripts/error-codes/codes.json,4.22,4,19,high
1031,packages/react-devtools/CHANGELOG.md,4.19,1,32,high
874,packages/react-reconciler/src/ReactFiber.old.js,4.17,4,15,high
202,packages/react-reconciler/src/ReactFiberRoot.new.js,4.11,4,22,high
79,packages/shared/forks/ReactFeatureFlags.test-renderer.js,4.06,3,39,high
2297,CHANGELOG.md,4.05,4,11,high
648,packages/react-dom/src/events/ReactDOMEventReplaying.js,4.02,5,12,high
409,packages/react-reconciler/src/ReactInternalTypes.js,4.01,2,27,high
209,packages/react-reconciler/src/ReactFiberTracingMarkerComponent.new.js,3.99,5,16,high
54,packages/react-devtools-extensions/edge/manifest.json,3.97,5,25,high
117,packages/shared/forks/ReactFeatureFlags.www.js,3.94,2,40,high
747,packages/react-reconciler/src/ReactFiberHydrationContext.old.js,3.93,2,21,high
747,packages/react-reconciler/src/ReactFiberHydrationContext.new.js,3.93,2,21,high
903,packages/react-reconciler/src/ReactFiberLane.new.js,3.87,2,19,high
1102,packages/react-debug-tools/src/__tests__/ReactHooksInspectionIntegration-test.js,3.85,3,14,high
1046,scripts/rollup/bundles.js,3.85,2,18,high
